country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,AQI,AQI_Bucket,Temperature_C,Humidity_%,Wind_Speed_kmh,Year,Month,Day,Hour,Day_of_Week,Season
India,Andhra Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",2026-07-01 23:00:00.000000000,14.465052,78.824187,OZONE,39.0,41.0,40.0,20,Good,23.8,68.2,10.6,2026,7,1,23,2,Summer
India,Andhra Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",2026-07-01 23:00:00.000000000,16.186555,81.13219,NO2,13.0,33.0,18.0,15,Good,30.6,60.3,19.1,2026,7,1,23,2,Summer
India,Andhra Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",2026-07-01 23:00:00.000000000,16.186555,81.13219,NH3,3.0,5.0,4.0,1,Good,28.4,44.3,8.8,2026,7,1,23,2,Summer
India,Andhra Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ",2026-07-01 23:00:00.000000000,14.438164,79.966814,PM10,45.0,106.0,66.0,96,Moderate,39.6,38.9,2.5,2026,7,1,23,2,Summer
India,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2026-07-01 23:00:00.000000000,16.9872867,81.7363176,PM2.5,5.0,19.0,11.0,12,Good,21.4,47.7,28.3,2026,7,1,23,2,Summer
India,Andhra Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",2026-07-01 23:00:00.000000000,13.67,79.35,SO2,4.0,10.0,6.0,21,Good,15.9,46.9,16.4,2026,7,1,23,2,Summer
India,Andhra Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",2026-07-01 23:00:00.000000000,13.67,79.35,CO,12.0,22.0,17.0,3,Good,37.8,34.3,4.8,2026,7,1,23,2,Summer
India,Andhra Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2026-07-01 23:00:00.000000000,13.615387,79.40923,PM2.5,32.0,46.0,37.0,37,Good,31.3,86.2,21.8,2026,7,1,23,2,Summer
India,Andhra Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2026-07-01 23:00:00.000000000,13.615387,79.40923,PM10,55.0,66.0,59.0,64,Moderate,26.6,92.5,14.1,2026,7,1,23,2,Summer
India,Andhra Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",2026-07-01 23:00:00.000000000,16.509717,80.612222,PM2.5,47.0,87.0,65.0,67,Moderate,31.2,76.2,7.8,2026,7,1,23,2,Summer
